gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0587.genes.results
Icenc-SB0587_UbLigMdm2_Icenc-SB0587,Nontoxin,Nontoxin,33.76
Icenc-SB0587_UbLigMARCH5_Icenc-SB0587,Nontoxin,Nontoxin,112.21
Icenc-SB0587_UbLigMARCH2_Icenc-SB0587,Nontoxin,Nontoxin,46.32
Icenc-SB0587_UbLigKCMF1_Icenc-SB0587,Nontoxin,Nontoxin,83.76
Icenc-SB0587_UbLigE3A_Icenc-SB0587,Nontoxin,Nontoxin,46.44
Icenc-SB0587_UbLig-RNF12A_Icenc-SB0587,Nontoxin,Nontoxin,36.92
Icenc-SB0587_UbLig-RBX1_Icenc-SB0587,Nontoxin,Nontoxin,333.41
Icenc-SB0587_UbLig-MARCH5_Icenc-SB0587,Nontoxin,Nontoxin,40.69
Icenc-SB0587_UbLig-makorin2_Icenc-SB0587,Nontoxin,Nontoxin,31.48
Icenc-SB0587_UbiSpecPep5_Icenc-SB0587,Nontoxin,Nontoxin,51.29
Icenc-SB0587_Ubiquilin1_Icenc-SB0587,Nontoxin,Nontoxin,86.86
Icenc-SB0587_UbiqMod-1_Icenc-SB0587,Nontoxin,Nontoxin,48.67
Icenc-SB0587_UbiqLigase-RNF152-1_Icenc-SB0587,Nontoxin,Nontoxin,57.35
Icenc-SB0587_UbiqLigase-NRDP1_Icenc-SB0587,Nontoxin,Nontoxin,12.29
Icenc-SB0587_UbiqLig-TRIM8_Icenc-SB0587,Nontoxin,Nontoxin,55.28
Icenc-SB0587_UbiqLig-RNF144B_Icenc-SB0587,Nontoxin,Nontoxin,75.2
Icenc-SB0587_UbiqLig-RNF130_Icenc-SB0587,Nontoxin,Nontoxin,53.7
Icenc-SB0587_UbiqLig-RNF125_Icenc-SB0587,Nontoxin,Nontoxin,17.66
Icenc-SB0587_UbiqLig-RNF115_Icenc-SB0587,Nontoxin,Nontoxin,27.81
Icenc-SB0587_UbiqLig-MYLIP_Icenc-SB0587,Nontoxin,Nontoxin,278.17
Icenc-SB0587_UbiqHydrolase3_Icenc-SB0587,Nontoxin,Nontoxin,14.27
Icenc-SB0587_UbiqCTDPhosphatase1_Icenc-SB0587,Nontoxin,Nontoxin,30.51
Icenc-SB0587_UbiqConj-E2-3_Icenc-SB0587,Nontoxin,Nontoxin,22.46
Icenc-SB0587_UbiqCarbHyd8_Icenc-SB0587,Nontoxin,Nontoxin,54.62
Icenc-SB0587_Ubiq4A_Icenc-SB0587,Nontoxin,Nontoxin,94.77
Icenc-SB0587_UbiPHDRing2_Icenc-SB0587,Nontoxin,Nontoxin,12
Icenc-SB0587_UbiConjEnzE2_Icenc-SB0587,Nontoxin,Nontoxin,77.55
Icenc-SB0587_UbiCarbHyd12_Icenc-SB0587,Nontoxin,Nontoxin,19.6
Icenc-SB0587_UbiCarbHyd10_Icenc-SB0587,Nontoxin,Nontoxin,49.87
Icenc-SB0587_UbFusionDeg1_Icenc-SB0587,Nontoxin,Nontoxin,125.32
