[Header]
Application Name	LabSolutions
Version	5.92
Data File Name	C:\LabSolutions\Data\Rokyta\Icenc-CLP2288_V1897.lcd
Output Date	2/6/2020
Output Time	8:18:11 AM

[File Information]
Type	Data File
Generated	10/11/2019 6:42:20 PM
Generated by	System Administrator
Modified	10/11/2019 9:02:48 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	10/11/2019 6:42:46 PM
Sample Type	0:Unknown
Level	0
Sample Name	Icenc-CLP2288_V1897
Sample ID	Icenc-CLP2288_V1897
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	44

[Original Files]
Data File	C:\LabSolutions\Data\Rokyta\Icenc-CLP2288_V1897.lcd
Method File	C:\LabSolutions\Data\Rokyta\Rokyta_HPLC.lcm
Batch File	C:\LabSolutions\Data\Rokyta\ACW_9samples_10-11-2019.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	50DPCP2-Instrument1
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	119
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
100	95.471	95.267	97.300	2782653	48695	57.145	0.000	 V 			131.808	19902	7.537	0.000	0.194	1.006	0	0	0.000	0.000
101	97.488	97.300	97.717	142758	5795	24.634	0.000	 V 			134.614	2051	73.150	0.000	0.356	1.021	0	0	0.000	0.000
102	98.585	97.717	103.625	6814582	153265	44.463	0.000	SV 			136.139	200661	0.748	1.382	0.231	1.011	0	0	0.000	0.000
103	100.860	100.700	101.258	2209	157	14.113	0.000	T  			139.305	1142864	0.131	1.521	3.618	1.023	0	0	0.000	0.000
104	101.575	101.308	101.883	2698	168	16.017	0.000	T  			140.299	840164	0.179	1.031	1.742	1.007	0	0	0.000	0.000
105	103.444	103.000	103.625	25512	1713	14.890	0.000	T  			142.899	1235771	0.121	0.752	4.583	1.019	0	0	0.000	0.000
106	104.281	103.625	106.042	705934	16749	42.149	0.000	 V 			144.063	134902	1.112	0.000	1.111	1.008	0	0	0.000	0.000
107	106.343	106.042	107.000	21303	489	43.565	0.000	 V 			146.931	37432	4.007	0.000	1.236	1.020	0	0	0.000	0.000
108	107.297	107.000	107.792	8361	277	30.195	0.000	 V 			148.258	210118	0.714	0.000	0.609	1.009	0	0	0.000	0.000
109	117.650	117.225	117.858	2701	98	27.490	0.000	   			162.660	1588	94.470	0.000	1.624	1.097	0	0	0.000	0.000
110	117.961	117.858	118.383	2129	127	16.730	0.000	 V 			163.093	52854	2.838	0.000	0.045	1.003	0	0	0.000	0.000
111	121.627	119.492	122.650	314960	2356	133.687	0.000	   			168.193	29290	5.121	0.746	1.498	1.031	0	0	0.000	0.000
112	125.146	124.158	126.733	159149	1843	86.356	0.000	   			173.087	27709	5.413	0.000	1.203	1.029	0	0	0.000	0.000
113	126.912	126.733	127.458	10347	379	27.282	0.000	 V 			175.544	0	0.000	0.000	0.000	1.014	0	0	0.000	0.000
114	130.155	128.717	133.500	1447712	16105	89.891	0.000	   			180.057	57603	2.604	1.422	0.000	1.026	0	0	0.000	0.000
115	136.194	134.600	136.625	1619621	16727	96.829	0.000	   			188.457	24070	6.232	0.000	2.126	1.047	0	0	0.000	0.000
116	136.741	136.625	137.542	643036	13617	47.224	0.000	 V 			189.217	0	0.000	0.000	0.000	1.004	0	0	0.000	0.000
